Время (UTC);Инициатор;Событие;Код;Объект;Детали
2026-06-15T07:47:19.023446+00:00;Paul;Изменён прогноз;prediction_updated;b9da12e0-426d-419d-b656-7fe1e46d0250;"{""away"": 1, ""home"": 3, ""match"": ""Belgium — Egypt"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 0}}"
2026-06-15T07:46:30.568775+00:00;Paul;Сделан прогноз;prediction_set;81745537-45d5-4b7f-a5dd-be844ee48731;"{""away"": 2, ""home"": 0, ""match"": ""Saudi Arabia — Uruguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:44:05.048095+00:00;Paul;Сделан прогноз;prediction_set;0fcfca90-66bd-4558-bf1d-88f8d5df492c;"{""away"": 1, ""home"": 4, ""match"": ""Spain — Cape Verde Islands"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:36:22.034149+00:00;МЮ Чемпион;Сделан прогноз;prediction_set;537c9ff7-95d3-41ac-b56a-1c7cd2b38eeb;"{""away"": 3, ""home"": 1, ""match"": ""Iraq — Norway"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:36:12.222641+00:00;МЮ Чемпион;Сделан прогноз;prediction_set;895b479a-3af1-43b5-9790-162ae9c53ab6;"{""away"": 0, ""home"": 2, ""match"": ""France — Senegal"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:35:57.583901+00:00;МЮ Чемпион;Сделан прогноз;prediction_set;2411986c-4744-4e6e-9969-9b4a0e4ec519;"{""away"": 0, ""home"": 0, ""match"": ""Iran — New Zealand"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:28:41.494905+00:00;Валерич;Сделан прогноз;prediction_set;126f7b03-07ec-439b-9731-520dfe2fc786;"{""away"": 0, ""home"": 2, ""match"": ""Argentina — Algeria"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-15T07:28:20.580961+00:00;Валерич;Изменён прогноз;prediction_updated;2411986c-4744-4e6e-9969-9b4a0e4ec519;"{""away"": 1, ""home"": 2, ""match"": ""Iran — New Zealand"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 1}}"
2026-06-15T07:28:12.694663+00:00;Валерич;Изменён прогноз;prediction_updated;2411986c-4744-4e6e-9969-9b4a0e4ec519;"{""away"": 1, ""home"": 1, ""match"": ""Iran — New Zealand"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 0}}"
2026-06-15T07:27:49.110484+00:00;Валерич;Изменён прогноз;prediction_updated;b9da12e0-426d-419d-b656-7fe1e46d0250;"{""away"": 1, ""home"": 0, ""match"": ""Belgium — Egypt"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 2}}"
